Project,FY,RepositoryCode,Dollars
Alice Paul,2022,SCH,10375.5
Curiosity Advertising Pamphlets,2024,SCH,2892.8799999999997
"DOAK ICFA, Ongoing Digitization",2022,DDO,1634
"DOAK ICFA, Ongoing Digitization",2023,DDO,3375
"DOAK ICFA, Ongoing Digitization",2024,DDO,264
"DOAK RARE, Born Digital - Ongoing Deposit",2023,DDO,970
"DOAK RARE, Born Digital - Ongoing Deposit",2024,DDO,1810
"DOAK RARE, Ongoing Digitization of Byzantine",2023,DDO,9834.05
"DOAK RARE, Ongoing Digitization of Byzantine",2024,DDO,1106.46
"DOAK RARE, Ongoing Digitization of Garden",2022,DDO,21557.78
"DOAK RARE, Ongoing Digitization of Garden",2023,DDO,2968.46
"DOAK RARE, Ongoing Digitization of Garden",2024,DDO,28273
"DOAK RARE, Ongoing Digitization of Pre-Columbian",2023,DDO,1431.7
Davis Center Special Collections,2024,FUN,120
Diversity/Inclusivity,2022,SCH,3193.12
Diversity/Inclusivity,2023,SCH,17004.15
Diversity/Inclusivity,2024,SCH,11921.14
Doris Stevens,2023,SCH,13376.98
Dreier,2023,SCH,10291.34
Dreier,2024,SCH,14019.32
ERA,2022,SCH,13606.92
ERA,2023,SCH,15606.2
ERA,2024,SCH,2140.44
Framingham Group,2022,SCH,277.56
Hamilton,2024,SCH,25493.88
High Speed Scanner,2022,SCH,13.77
Judy Chicago,2022,SCH,2244.2999999999997
Ongoing manuscript digitization,2022,SCH,8382.88
Ongoing manuscript digitization,2023,SCH,11787.31
Ongoing manuscript digitization,2024,SCH,6071.61
Ongoing published materials,2022,SCH,2681.87
Ongoing published materials,2023,SCH,2989.7599999999998
Ongoing published materials,2024,SCH,319.6
PIRC Deeds,2022,PIRC,450
PIRC Deeds,2023,PIRC,2072.5
PIRC Deeds,2024,PIRC,472.5
PIRC Digitization,2022,PIRC,15108
PIRC Digitization,2023,PIRC,7309
PIRC Digitization,2024,PIRC,2730
"PIRC, Born Digital - Ongoing Deposit",2023,PIRC,525
Pinetree,2022,SCH,416
Roe v. Wade,2022,SCH,12272.83
Roe v. Wade,2023,SCH,6841.25
Roe v. Wade,2024,SCH,11766.53
Schlesinger Photographs,2022,SCH,24
Schlesinger Photographs,2023,SCH,405.75
Spurlock-Sampson,2022,SCH,11777.13
Spurlock-Sampson,2023,SCH,7209.93
Suffrage,2022,SCH,21692.05
Suffrage,2023,SCH,42200.45
Suffrage,2024,SCH,23606.16
T-shirt Project,2022,SCH,17850
