PhotoduplicationDate (Day-Month-Year),RepoCode,ActivityName,ActivityDescription,BillingType,Quantity,UnitFee,PaymentAmount,PaymentMethod,PaymentReference,TransactionNumber,FY
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,Customized Structural Metadata (simple object),19,3,135,Billing Account,110.01917.7067.431206.504013.0000.00000,611149,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,Customized Structural Metadata (simple object),32,3,226.5,Billing Account,110.01917.7067.431206.504013.0000.00000,611148,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,Customized Structural Metadata (simple object),33,3,216,Billing Account,110.01917.7067.431206.504013.0000.00000,611150,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,Customized Structural Metadata (simple object),39,3,183,Billing Account,110.01917.7067.431206.504013.0000.00000,610996,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,Customized Structural Metadata (simple object),40,3,211.5,Billing Account,110.01917.7067.431206.504013.0000.00000,611151,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,Customized Structural Metadata (simple object),50,3,247.23,Billing Account,110.01917.7067.431206.504013.0000.00000,611138,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,Customized Structural Metadata (simple object),77,3,720.75,Billing Account,110.01917.7067.431206.504013.0000.00000,611004,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,Customized Structural Metadata (simple object),78,3,705,Billing Account,110.01917.7067.431206.504013.0000.00000,611147,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,Customized Structural Metadata (simple object),80,3,597,Billing Account,110.01917.7067.431206.504013.0000.00000,611000,2022
2021-07-06,DDO,"DOAK RARE, Ongoing Digitization of Garden",DIRECT - Ongoing - Rare books and manuscripts,Customized Structural Metadata (simple object),87,3,500.13,Billing Account,110.01917.7067.431206.504013.0000.00000,610994,2022
